SEQ,4805757948,4737531526,4740483305,4730514429,4729661142,4731949210,4734229910,4727737858,4728498227,4734461540,4729894344,4726232168,4725442841,4725074305,4732291704,4726686395,4724768788,4722745507,4730832551,4730021691
PAR with P = 1,4733235340,4719472060,4737232136,4719596277,4722619038,4723024423,4722409237,4725996273,4732269306,4721006157,4719893893,4718035101,4718433211,4721626800,4729489092,4720337225,4719204911,4729750434,4733631626,4735259775
PAR with P = 2,2734435379,2728484724,2722809261,2726299904,2730207455,2722058354,2724915297,2732550438,2727390586,2730955546,2720967483,2730024624,2728570941,2726614828,2725196295,2726655236,2718190542,2735197710,2725014603,2731521933
PAR with P = 4,1867964360,1891281600,1896532563,1892592781,1885777130,1886959451,1899019122,1899302139,1907234820,1900911393,1898800890,1873384663,1884974739,1889218863,1891707320,1887534397,1888653375,1889010562,1870351531,1907316912
PAR with P = 8,2349472070,2353758335,1942219295,2362212032,2011678064,1968962993,2402964727,2241305002,2118733442,1895705543,1969582445,2203290671,2267835062,1839346585,2328875857,2159452002,2144222902,2332429015,1856333846,2028361508
PAR with P = 16,2109590831,2074811387,2069188056,1987947386,2003514671,2023002058,1949238466,2162894975,1998821663,1948151139,1968333493,2153804016,1825031200,1855093673,1917316322,1981802029,2032961250,2043710787,2027957943,1976541276
