PAR with T = 10,1036013291,1043163553,1053194253,1042858366,1044357371,1041619223,1049059916,1046795921,1035942348,1043616814,1036263739,1042112478,1041368869,1034728516,1038201592,1039980016,1048764097,1044890643,1041209644,1039137115
PAR with T = 100,1074395313,1086993494,1074662179,1075019553,1090787033,1085862111,1076964669,1069051403,1081935360,1069600492,1078497101,1075880868,1081872184,1086385912,1065727194,1069334128,1075174357,1071604843,1112174695,1080844433
PAR with T = 250,1154413655,1155988880,1137603016,1143422787,1144571268,1149343050,1153619109,1149676423,1145831191,1148631841,1149866171,1148125970,1157973859,1150855110,1148571987,1148993752,1151891243,1155418673,1156062365,1139702559
PAR with T = 500,1266115879,1268686835,1263282939,1262839826,1269271378,1274311875,1261671731,1270633595,1261738007,1264077871,1267280914,1270512143,1266659810,1275002622,1316547395,1266297379,1270419549,1266740072,1270619772,1268941195
PAR with T = 1000,1576933349,1586754905,1591264279,1578919896,1597193121,1583058515,1581760262,1575599249,1581788376,1587544308,1585469030,1586974733,1582679834,1576097786,1580779078,1585589535,1589556084,1591795177,1585182593,1589024903
PAR with T = 2000,1951098814,1948513209,1944380971,1942483757,1946453431,1950743739,1952513450,1936853623,1948173193,1932640401,1944371116,1948586130,1941217515,1944727769,1943458452,1949235349,1947363303,1948931745,1945285200,1938939286
PAR with T = 5000,2987553571,2984925700,2990965143,2988096028,2988123860,2990756087,2989644317,2993403842,2990880811,2992082937,2996082829,2987832836,2991212761,2988260450,2989131154,2990646847,2989028074,2990027212,2991303092,2991526195
PAR with T = 1000,1583449226,1586391188,1582407853,1589048651,1587431296,1581735383,1588618247,1585317524,1593743988,1578237732,1591021551,1584975470,1584012405,1576247273,1575275056,1586834332,1585101796,1586118663,1586523000,1590319134
